Date;People
1/1/2017;25
1/2/2017;32
1/3/2017;29
1/4/2017;22
1/5/2017;6
1/6/2017;9
1/7/2017;31
1/8/2017;21
1/9/2017;18
1/10/2017;26
1/11/2017;21
1/12/2017;0
1/13/2017;24
1/14/2017;21
1/15/2017;26
1/16/2017;6
1/17/2017;18
1/18/2017;12
1/19/2017;45
1/20/2017;15
1/21/2017;19
1/22/2017;15
1/23/2017;32
1/24/2017;3
1/25/2017;26
1/26/2017;8
1/27/2017;14
1/28/2017;15
1/29/2017;17
1/30/2017;22
1/31/2017;43
2/1/2017;20
2/2/2017;7
2/3/2017;16
2/4/2017;21
2/5/2017;21
2/6/2017;32
2/7/2017;23
2/8/2017;22
2/9/2017;19
2/10/2017;21
2/11/2017;20
2/12/2017;37
2/13/2017;
2/14/2017;11
2/15/2017;8
2/16/2017;23
2/17/2017;31
2/18/2017;37
2/19/2017;25
2/20/2017;10
2/21/2017;20
2/22/2017;25
2/23/2017;27
2/24/2017;39
2/25/2017;32
2/26/2017;17
2/27/2017;29
2/28/2017;25
3/1/2017;30
3/2/2017;41
3/3/2017;1
3/4/2017;7
3/5/2017;19
3/6/2017;25
3/7/2017;44
3/8/2017;36
3/9/2017;16
3/10/2017;20
3/11/2017;22
3/12/2017;13
3/13/2017;12
3/14/2017;49
3/15/2017;19
3/16/2017;10
3/17/2017;22
3/18/2017;30
3/19/2017;24
3/20/2017;51
3/21/2017;35
3/22/2017;21
3/23/2017;23
3/24/2017;33
3/25/2017;11
3/26/2017;40
3/27/2017;28
3/28/2017;29
3/29/2017;19
3/30/2017;9
3/31/2017;26
4/1/2017;12
4/2/2017;34
4/3/2017;17
4/4/2017;46
4/5/2017;12
4/6/2017;14
4/7/2017;24
4/8/2017;30
4/9/2017;45
4/10/2017;48
4/11/2017;1
4/12/2017;20
4/13/2017;37
4/14/2017;23
4/15/2017;54
4/16/2017;43
4/17/2017;11
4/18/2017;28
4/19/2017;33
4/20/2017;26
4/21/2017;30
4/22/2017;27
4/23/2017;17
4/24/2017;25
4/25/2017;27
4/26/2017;27
4/27/2017;50
4/28/2017;33
4/29/2017;10
4/30/2017;20
5/1/2017;35
5/2/2017;27
5/3/2017;43
5/4/2017;53
5/5/2017;16
5/6/2017;25
5/7/2017;32
5/8/2017;24
5/9/2017;46
5/10/2017;34
5/11/2017;11
5/12/2017;22
5/13/2017;14
5/14/2017;45
5/15/2017;39
5/16/2017;44
5/17/2017;32
5/18/2017;26
5/19/2017;33
5/20/2017;33
5/21/2017;61
5/22/2017;25
5/23/2017;21
5/24/2017;24
5/25/2017;19
5/26/2017;22
5/27/2017;29
5/28/2017;33
5/29/2017;20
5/30/2017;28
5/31/2017;25
6/1/2017;22
6/2/2017;51
6/3/2017;28
6/4/2017;16
6/5/2017;45
6/6/2017;26
6/7/2017;47
6/8/2017;24
6/9/2017;9
6/10/2017;23
6/11/2017;26
6/12/2017;26
6/13/2017;
6/14/2017;21
6/15/2017;13
6/16/2017;12
6/17/2017;27
6/18/2017;24
6/19/2017;38
6/20/2017;27
6/21/2017;23
6/22/2017;22
6/23/2017;57
6/24/2017;2
6/25/2017;18
6/26/2017;21
6/27/2017;35
6/28/2017;18
6/29/2017;15
6/30/2017;34
7/1/2017;27
7/2/2017;31
7/3/2017;31
7/4/2017;28
7/5/2017;10
7/6/2017;21
7/7/2017;36
7/8/2017;20
7/9/2017;30
7/10/2017;39
7/11/2017;4
7/12/2017;32
7/13/2017;20
7/14/2017;15
7/15/2017;29
7/16/2017;40
7/17/2017;23
7/18/2017;18
7/19/2017;40
7/20/2017;14
7/21/2017;46
7/22/2017;46
7/23/2017;0
7/24/2017;37
7/25/2017;21
7/26/2017;27
7/27/2017;32
7/28/2017;24
7/29/2017;28
7/30/2017;25
7/31/2017;14
8/1/2017;29
8/2/2017;48
8/3/2017;6
8/4/2017;15
8/5/2017;20
8/6/2017;13
8/7/2017;11
8/8/2017;36
8/9/2017;26
8/10/2017;19
8/11/2017;26
8/12/2017;27
8/13/2017;22
8/14/2017;14
8/15/2017;20
8/16/2017;18
8/17/2017;29
8/18/2017;26
8/19/2017;37
8/20/2017;41
8/21/2017;18
8/22/2017;16
8/23/2017;15
8/24/2017;21
8/25/2017;25
8/26/2017;34
8/27/2017;24
8/28/2017;18
8/29/2017;16
8/30/2017;12
8/31/2017;18
9/1/2017;20
9/2/2017;3
9/3/2017;7
9/4/2017;24
9/5/2017;27
9/6/2017;7
9/7/2017;33
9/8/2017;34
9/9/2017;2
9/10/2017;24
9/11/2017;8
9/12/2017;14
9/13/2017;46
9/14/2017;38
9/15/2017;10
9/16/2017;35
9/17/2017;8
9/18/2017;8
9/19/2017;26
9/20/2017;32
9/21/2017;12
9/22/2017;19
9/23/2017;15
9/24/2017;22
9/25/2017;28
9/26/2017;36
9/27/2017;8
9/28/2017;16
9/29/2017;5
9/30/2017;26
10/1/2017;19
10/2/2017;40
10/3/2017;11
10/4/2017;12
10/5/2017;31
10/6/2017;22
10/7/2017;11
10/8/2017;46
10/9/2017;31
10/10/2017;7
10/11/2017;23
10/12/2017;27
10/13/2017;32
10/14/2017;4
10/15/2017;11
10/16/2017;15
10/17/2017;16
10/18/2017;26
10/19/2017;54
10/20/2017;11
10/21/2017;21
10/22/2017;16
10/23/2017;16
10/24/2017;12
10/25/2017;10
10/26/2017;25
10/27/2017;28
10/28/2017;5
10/29/2017;21
10/30/2017;24
10/31/2017;17
11/1/2017;24
11/2/2017;38
11/3/2017;2
11/4/2017;11
11/5/2017;8
11/6/2017;25
11/7/2017;15
11/8/2017;37
11/9/2017;23
11/10/2017;1
11/11/2017;4
11/12/2017;12
11/13/2017;10
11/14/2017;19
11/15/2017;54
11/16/2017;30
11/17/2017;3
11/18/2017;11
11/19/2017;8
11/20/2017;22
11/21/2017;23
11/22/2017;25
11/23/2017;23
11/24/2017;20
11/25/2017;17
11/26/2017;15
11/27/2017;16
11/28/2017;39
11/29/2017;22
11/30/2017;3
12/1/2017;7
12/2/2017;14
12/3/2017;25
12/4/2017;11
12/5/2017;40
12/6/2017;27
12/7/2017;8
12/8/2017;11
12/9/2017;18
12/10/2017;8
12/11/2017;19
12/12/2017;42
12/13/2017;17
12/14/2017;5
12/15/2017;17
12/16/2017;10
12/17/2017;41
12/18/2017;26
12/19/2017;11
12/20/2017;7
12/21/2017;7
12/22/2017;21
12/23/2017;12
12/24/2017;35
12/25/2017;7
12/26/2017;1
12/27/2017;9
12/28/2017;27
12/29/2017;16
12/30/2017;27
12/31/2017;20
1/1/2018;6
1/2/2018;18
1/3/2018;20
1/4/2018;20
1/5/2018;31
1/6/2018;32
1/7/2018;4
1/8/2018;4
1/9/2018;32
1/10/2018;19
1/11/2018;12
1/12/2018;46
1/13/2018;25
1/14/2018;3
1/15/2018;9
1/16/2018;7
1/17/2018;17
1/18/2018;27
1/19/2018;16
1/20/2018;1
1/21/2018;10
1/22/2018;11
1/23/2018;11
1/24/2018;14
1/25/2018;40
1/26/2018;23
